fromHarbor,toHarbor,price,departureDate,departureTime,arrivalTime,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration,index
Pachi-Greece_(PME),NIKETE_KHALKIDIKES-Greece_(796),10.51803898254229,05/04/1996,15:28:47,1900-01-01_16:39:47,26/03/1987,Slovakia_(Slovak_Republic),148.510.5779,Jeremy,Rollins,Jeremy.Rollins@gmail.com,GB*,Jeremy,Rollins,01/32,80
Kiparissia-Greece_(KIP),ARMENISTES_RODOU-Greece_(718),55.23054369150463,24/10/1994,10:36:13,1900-01-01_21:39:13,21/01/2002,Dominica,537-587-2218,Corey,Craig,Corey.Craig@gmail.com,GB*,Corey,Craig,12/28,24
Pelasyia-Greece_(PEL),Glossa-Greece_(GLO),36.01310297656475,03/03/1981,08:26:28,1900-01-01_22:58:28,21/02/1997,Ukraine,001-674-543-8061,Michelle,Nixon,Michelle.Nixon@gmail.com,GB*,Michelle,Nixon,02/30,46
Elafonissos_Lakonias-Greece_(ELN),Herakleia_Kykladon-Greece_(HRK),84.1380907949731,08/12/2015,14:09:12,1900-01-02_01:11:12,13/03/1986,Faroe_Islands,9492833551,Katrina,Taylor,Katrina.Taylor@gmail.com,GB*,Katrina,Taylor,11/25,10
Kapsalion_(Kythira)-Greece_(KAP),Agia_Galini_Rethimnou-Greece_(PIL),85.91926594463399,05/02/2005,01:24:57,1900-01-01_12:44:57,29/01/1990,Colombia,740.229.8041,Tyler,Lozano,Tyler.Lozano@gmail.com,GB*,Tyler,Lozano,09/24,47
AGIOKAMPOS_EUBOIAS_(OREON)-Greece_(AOR),Mesta_Hiou-Greece_(MHI),46.40770469491557,10/07/2017,12:14:30,1900-01-01_13:22:30,15/12/1974,Norfolk_Island,664.309.5657,Stephanie,Miller,Stephanie.Miller@gmail.com,GB*,Stephanie,Miller,08/27,33
Donousa_Kykladon-Greece_(DON),Skaloma-Greece_(SKM),97.23542059299888,10/08/2014,22:51:10,1900-01-02_13:39:10,29/10/2002,Macao,636.749.6319,Carlos,Heath,Carlos.Heath@gmail.com,GB*,Carlos,Heath,03/29,15
Mirina-Greece_(MYR),Karystos-Greece_(KST),94.55529875446672,27/07/1995,22:20:17,1900-01-02_04:10:17,20/11/1991,Panama,340-616-9949,Marilyn,Barnes,Marilyn.Barnes@gmail.com,GB*,Marilyn,Barnes,11/29,9
Yerakini-Greece_(YER),Kastos_Island-Greece_(KSI),91.5730391660807,16/11/2018,18:13:14,1900-01-01_20:52:14,04/01/1986,Botswana,053.913.9970,Jamie,Simmons,Jamie.Simmons@gmail.com,GB*,Jamie,Simmons,02/29,71
Palaia_Epidavros-Greece_(PEP),KALLONE_LESBOU-Greece_(743),67.48714961256273,06/04/1997,14:01:18,1900-01-01_19:36:18,30/10/1971,Guinea-Bissau,(874)626-8757,Robert,Martin,Robert.Martin@gmail.com,GB*,Robert,Martin,04/27,95
Nea_Moudhania-Greece_(NMA),Glyfada_Saronikou-Greece_(GFD),92.4338101714954,14/07/1998,14:06:33,1900-01-01_19:20:33,04/10/1998,Malawi,410.025.1204,Caleb,Everett,Caleb.Everett@gmail.com,GB*,Caleb,Everett,04/25,87
Sougia_Chanion-Greece_(SOG),Lakkion-Greece_(PKK),81.31357283870929,16/06/2015,00:07:45,1900-01-01_17:08:45,03/08/1980,Malawi,2998699657,Kevin,Robinson,Kevin.Robinson@gmail.com,GB*,Kevin,Robinson,05/23,73
PORTO_KARRA_KHALKIDIKES-Greece_(854),Lavrion_(Laurium)-Greece_(LAV),44.38537259443876,22/03/2002,05:02:31,1900-01-01_18:46:31,20/01/2004,Dominican_Republic,272.091.5096,Angela,Lee,Angela.Lee@gmail.com,GB*,Angela,Lee,11/32,72
Agia_Roumeli-Greece_(ROU),KORTHION_ANDROU-Greece_(755),99.26562817870231,09/02/1996,04:38:08,1900-01-01_12:46:08,22/03/1995,Martinique,(929)271-0691,Kevin,Campbell,Kevin.Campbell@gmail.com,GB*,Kevin,Campbell,10/26,97
