fromHarbor,toHarbor,price,departureDate,departureTime,arrivalTime,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration,index
Agios_Nikolaos_Fokidas-Greece_(AGF),AGIOS_IOANNES_MAGNESIAS-Greece_(705),24.449340904896864,02/01/1998,00:31:35,1900-01-01_02:45:35,26/10/1994,Turks_and_Caicos_Islands,(**,Matthew,Allen,Matthew.Allen@gmail.com,GB60JHIP59868825261012,Matthew,Allen,08/30,90
Samos-Greece_(SMI),Pythagoreion-Greece_(PYT),44.18956782898806,03/03/2002,20:57:02,1900-01-02_03:25:02,14/03/1990,Australia,3**,Susan,Cruz,Susan.Cruz@gmail.com,GB61QGAH64504939986400,Susan,Cruz,11/28,98
Korinthos-Greece_(KRT),Palaia_Fokaia-Greece_(PFA),99.76357168675104,11/10/2017,06:36:37,1900-01-01_23:14:37,31/03/1976,Falkland_Islands_(Malvinas),1**,Derrick,Smith,Derrick.Smith@gmail.com,GB69AZVA23665667315154,Derrick,Smith,12/30,14
DERBENI_KORINTHIAS-Greece_(730),PSATHOPURGOS_AKHAIAS-Greece_(848),27.19132207712891,13/08/1994,05:21:52,1900-01-01_10:00:52,01/02/1978,Montserrat,0**,Richard,Brooks,Richard.Brooks@gmail.com,GB78WQCF92753816678570,Richard,Brooks,04/29,38
Palaia_Fokaia-Greece_(PFA),Stavrochorion-Greece_(SCR),68.34416393209366,21/05/1974,02:38:34,1900-01-01_06:01:34,02/04/1989,Argentina,(**,Cameron,Holmes,Cameron.Holmes@gmail.com,GB41AEGN62395088200272,Cameron,Holmes,04/24,79
Herakleia_Kykladon-Greece_(HRK),SUKAMINEA_LESBOU-Greece_(834),46.60699468704954,23/11/2012,04:41:13,1900-01-01_06:45:13,18/01/1973,Western_Sahara,0**,Dale,Garcia,Dale.Garcia@gmail.com,GB50GUON50084164667721,Dale,Garcia,12/28,86
Mirina-Greece_(MYR),Karystos-Greece_(KST),94.55529875446672,27/07/1995,22:20:17,1900-01-02_04:10:17,20/11/1991,Panama,3**,Marilyn,Barnes,Marilyn.Barnes@gmail.com,GB88GNPL64008456147507,Marilyn,Barnes,11/29,9
MAKRONISOS-Greece_(856),Sikionia-Greece_(SIK),34.643592491176946,26/11/1988,02:30:10,1900-01-01_21:05:10,18/03/1997,Falkland_Islands_(Malvinas),9**,Danielle,Lewis,Danielle.Lewis@gmail.com,GB84HWSP67245891428509,Danielle,Lewis,02/29,11
Aktio_Vonitsas-Greece_(AKT),AGIOS_IOANNES_MAGNESIAS-Greece_(705),85.12453316651872,18/10/1998,13:28:20,1900-01-01_16:21:20,28/05/1972,Libyan_Arab_Jamahiriya,(**,Wayne,Adams,Wayne.Adams@gmail.com,GB11MGPK66812803295365,Wayne,Adams,06/32,6
Istanbul-Greece_(TR-IST),PSATHOPURGOS_AKHAIAS-Greece_(848),73.01178830216924,05/11/1984,15:24:06,1900-01-02_02:49:06,13/05/2001,Cocos_(Keeling)_Islands,(**,William,Shah,William.Shah@gmail.com,GB62TTOC55137418052456,William,Shah,01/26,94
