fromHarbor,toHarbor,ship,shippingFirm,passengers,vehicles,position,seatNumber,discount,price,departureDate,departureTime,arrivalTime,gender,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration
Kalymnos-Greece_(KMI),DERBENI_KORINTHIAS-Greece_(730),DIONYSIOS_SOLOMOS,KERKYRAIKES_GRAMMES,9.0,7.0,Cabin-3_Beds_(Ext.)_[A3],412.0,Three_Children,63.47320888520544,2022-08-19,03:22:45,1900-01-01_16:21:45,F,1988-07-18,Guam,(380)232-4130,Kendra,Murray,Kendra.Murray@gmail.com,GB12YMLY12069092231089,Kendra,Murray,10/24
Tilos-Greece_(TIL),PLAKA_LEMNOU-Greece_(815),ANO_CHORA,NOVA_FERRIES,4.0,1.0,Aviation_Seat_[ATS],167.0,Having_many_children,91.01290592327936,1980-03-18,12:53:24,1900-01-01_23:42:24,F,1985-11-20,Iraq,(265)490-3268,Christine,Woodward,Christine.Woodward@gmail.com,GB53ODVR05349006570493,Christine,Woodward,09/31
Mirties_Kalimnou-Greece_(MRS),Kosta_Ermionidas-Greece_(KEM),DODEKANISOS_PRIDE,AGIA_MARINI_NE,5.0,4.0,Cabin-3_Beds_(Ext.)_[A3],380.0,Retired_NAT,13.56153135795908,1988-10-09,07:13:44,1900-01-01_15:25:44,M,1997-10-21,India,+1-140-825-9448,Jeffrey,Smith,Jeffrey.Smith@gmail.com,GB69QHGZ46762217374305,Jeffrey,Smith,10/28
Molyvos-Greece_(MOL),Epidavros-Greece_(EPI),ARIADNI,ANEK_LINES,1.0,1.0,Cabin-4_Beds_[A4K],276.0,Three_Children,72.26097000164492,1976-03-19,12:23:54,1900-01-02_05:20:54,F,1979-04-09,Somalia,5307977959,Heather,Williams,Heather.Williams@gmail.com,GB15RAFY71082451946431,Heather,Williams,01/28
Andirrion-Greece_(ANT),DERBENI_KORINTHIAS-Greece_(730),FLYINGCAT_5,FAST_FERRIES,9.0,8.0,Cabin-2_Beds_(Ext.)_[A2],182.0,Hoplites,94.88181964054289,2018-01-13,15:18:58,1900-01-01_17:20:58,M,1971-07-19,Norway,333.751.1057,Ryan,Dixon,Ryan.Dixon@gmail.com,GB49KCZJ68040501564725,Ryan,Dixon,05/31
PURGOS_KARUSTIAS_EUBOIAS-Greece_(824),Nea_Stira-Greece_(NST),SUPER_STAR,SEBECO_LINES,5.0,5.0,Cabin-2_Beds_(Ext.)_[AA2],415.0,College_Student,30.62483840778388,1997-11-17,18:04:15,1900-01-02_00:59:15,F,2000-10-16,Mozambique,9999326765,Jaime,Jones,Jaime.Jones@gmail.com,GB41UQQH59779229171320,Jaime,Jones,08/26
Aktio_Vonitsas-Greece_(AKT),AGIOS_IOANNES_MAGNESIAS-Greece_(705),H/S/C_SANTORINI_PALACE,SARONIC_FERRIES,5.0,4.0,Cabin-3_Beds_[AB3],441.0,Three_Children,85.12453316651872,1998-10-18,13:28:20,1900-01-01_16:21:20,M,1972-05-28,Libyan_Arab_Jamahiriya,(739)046-6317,Wayne,Adams,Wayne.Adams@gmail.com,GB11MGPK66812803295365,Wayne,Adams,06/32
PISO_LIVADI_PAROS-Greece_(857),Agia_Marina_Grammatikou_Attikis-Greece_(GMA),FLYINGCAT_6,SEA_SPEED_FERRIES,5.0,2.0,Cabin-2_Beds_(Ext.)_[A2],96.0,Having_many_children,98.1731012579621,1978-02-09,22:30:38,1900-01-02_08:09:38,M,1999-11-04,Guatemala,888.239.3608,Ryan,Nguyen,Ryan.Nguyen@gmail.com,GB70IVVF50456146329713,Ryan,Nguyen,06/27
Antikyra-Greece_(ATK),Amaliapolis-Greece_(APL),HIGH_SPEED_JET,ZANTE_FERRIES_,7.0,3.0,Cabin-2_Beds_[A2K],386.0,Hoplites,29.58427531128544,2009-11-02,12:09:52,1900-01-02_02:57:52,M,1973-10-30,Russian_Federation,615.000.5093,Raymond,Young,Raymond.Young@gmail.com,GB77NUAG04345320854281,Raymond,Young,09/31
Mirina-Greece_(MYR),Karystos-Greece_(KST),F/B_PREVELIS,MIKRES_KYKLADES,6.0,5.0,Aviation_Seat_[ATS],131.0,Hoplites,94.55529875446672,1995-07-27,22:20:17,1900-01-02_04:10:17,F,1991-11-20,Panama,340-616-9949,Marilyn,Barnes,Marilyn.Barnes@gmail.com,GB88GNPL64008456147507,Marilyn,Barnes,11/29
Elafonissos_Lakonias-Greece_(ELN),Herakleia_Kykladon-Greece_(HRK),ERATO,MIKRES_KYKLADES,10.0,2.0,Cabin-4_Beds_[A4K],348.0,Having_many_children,84.1380907949731,2015-12-08,14:09:12,1900-01-02_01:11:12,F,1986-03-13,Faroe_Islands,9492833551,Katrina,Taylor,Katrina.Taylor@gmail.com,GB82PWZD51209850800767,Katrina,Taylor,11/25
MAKRONISOS-Greece_(856),Sikionia-Greece_(SIK),ANDROS_JET,ZANTE_FERRIES_,5.0,3.0,Cabin-2_Beds_(Ext.)_[A2],459.0,Three_Children,34.643592491176946,1988-11-26,02:30:10,1900-01-01_21:05:10,F,1997-03-18,Falkland_Islands_(Malvinas),986.870.6687,Danielle,Lewis,Danielle.Lewis@gmail.com,GB84HWSP67245891428509,Danielle,Lewis,02/29
Skaloma-Greece_(SKM),Antikyra-Greece_(ATK),SEMPEKO,KATEROS,3.0,3.0,Aviation_Seat_[ATS],311.0,Three_Children,35.22260245438097,2004-10-26,06:22:53,1900-01-01_09:06:53,F,1983-11-13,Oman,(082)904-6378,Brenda,Mahoney,Brenda.Mahoney@gmail.com,GB11SBMC53607226643937,Brenda,Mahoney,07/32
PLATAMONAS_PIERIAS-Greece_(816),Vassiliki_Leykadas-Greece_(VSS),DIAGORAS,TRITON_FERRIES,6.0,4.0,Cabin-2_Beds_(Ext.)_[AA2],50.0,College_Student,82.35470397070661,1973-10-07,11:46:08,1900-01-01_13:19:08,M,1994-06-08,Ghana,+1-807-590-1172,Travis,Page,Travis.Page@gmail.com,GB84LGPY78252306212818,Travis,Page,04/30
Korinthos-Greece_(KRT),Palaia_Fokaia-Greece_(PFA),H/S/C_SANTORINI_PALACE,GOUTOS_LINES,5.0,6.0,Cabin-3_Beds_(Ext.)_[A3],356.0,Hoplites,99.76357168675104,2017-10-11,06:36:37,1900-01-01_23:14:37,M,1976-03-31,Falkland_Islands_(Malvinas),105-832-5388,Derrick,Smith,Derrick.Smith@gmail.com,GB69AZVA23665667315154,Derrick,Smith,12/30
