firstName,lastName,email,product,area,postalCode,longtitude,latitude,event,description,date
Joseph,Bullock,Joseph.Bullock@gmail.com,Figs,Milos,848_00,36.74535559207423,24.429736203229236,Flooding,The_bright_slave_instructs_pattypan.,2023-05-19
Whitney,James,Whitney.James@gmail.com,Parsley,Kithira,802_00,36.25034526875598,22.999656640918072,Pruning,The_wooden_nestmate_scratches_handmaiden.,2022-01-20
Stephanie,Brown,Stephanie.Brown@gmail.com,Apples,Agios_Nikolaos,721_00,35.191061174269656,25.714531201542446,Drought,The_nervous_havoc_invents_buffet.,2021-12-25
Matthew,Koch,Matthew.Koch@gmail.com,Beets,Corfu,491_00,39.62044087432396,19.879267794625388,Flooding,The_fabulous_mocha_freezes_view.,2022-05-07
Jack,Quinn,Jack.Quinn@gmail.com,Chestnuts,Grevena,511_00,40.10771007295979,21.41382920188915,Freeze,The_uppity_devil_pays_cushion.,2023-11-14
Lauren,Walters,Lauren.Walters@gmail.com,Onions,Kastoria,521_00,40.54406711129824,21.2549827978987,Pruning,The_forgetful_butane_models_lawyer.,2022-11-23
Natalie,Sanchez,Natalie.Sanchez@gmail.com,Beets,Spetses,180_50,37.26277249360422,23.13038748006553,Rain,The_uneven_polyester_vanishes_nun.,2021-12-23
Thomas,Cruz,Thomas.Cruz@gmail.com,Pomegranates,Zante,291_00,37.79754261942515,20.86994792628817,Flooding,The_dysfunctional_cranky_arbitrates_equal.,2021-03-09
Susan,Jackson,Susan.Jackson@gmail.com,Peanuts,Tegea,220_12,37.45503319463273,22.4193562340771,Damaging_winds,The_accurate_fighter_forms_elite.,2023-04-07
Austin,Kelly,Austin.Kelly@gmail.com,Garlics,Larisa,415_00,39.63017613682956,22.444708945998894,Other,The_permissible_workplace_phones_compassionate.,2021-02-20
Nicholas,Smith,Nicholas.Smith@gmail.com,Peppers,Alonissos,370_05,39.219162156609116,23.91303205594277,Bacterium,The_big_amount_locks_contrail.,2022-05-07
Evan,Reyes,Evan.Reyes@gmail.com,Peppers,Ikaria,833_00,37.58961068473517,26.147039270550426,Flooding,The_thundering_orient_dusts_pennant.,2023-10-16
Christopher,Sullivan,Christopher.Sullivan@gmail.com,Chestnuts,Samos,831_00,37.76005902152866,26.909739987900434,Drought,The_ad_hoc_ripple_measures_shadow.,2023-03-27
Andrew,Moore,Andrew.Moore@gmail.com,Kiwi_fruits,Kamari,220_12,37.440022774340186,22.41081439076418,Other,The_fat_arcade_proves_clip.,2023-09-26
Stacey,Thomas,Stacey.Thomas@gmail.com,Cabbages,Simi,856_00,36.616320076923415,27.834090209833906,Other,The_hard_display_chews_nylon.,2021-11-25
Shelby,Johnson,Shelby.Johnson@gmail.com,Lemons,Skiros,340_07,38.83311758903011,24.59914281992848,Pruning,The_sleepy_robotics_specifies_latex.,2022-12-10
Courtney,Fleming,Courtney.Fleming@gmail.com,Onions,Poros,180_20,37.50563954527482,23.457248030860107,Drought,The_slimy_dolor_annoys_disconnection.,2022-01-03
Paul,Jones,Paul.Jones@gmail.com,Peaches,Thira,847_00,36.42184435682835,25.431268915395393,Damaging_winds,The_gusty_flow_achieves_activity.,2021-02-23
Jeffery,Harris,Jeffery.Harris@gmail.com,Mandarins,Livadia,321_00,38.42934169801353,22.884387271023957,Rain,The_cloistered_continuity_undertakes_garden.,2021-02-08
Scott,Tyler,Scott.Tyler@gmail.com,Spinach,Thira,847_00,36.42184435682835,25.431268915395393,Bacterium,The_itchy_lion_slays_hospitality.,2021-01-12
Jacob,Thompson,Jacob.Thompson@gmail.com,Avocados,Skiathos,370_02,39.16371332685482,23.461523468690146,Pruning,The_combative_leisure_screws_campanile.,2021-11-28
Kyle,Vang,Kyle.Vang@gmail.com,Watermellons,Rethymno,741_00,35.3658426772746,24.48799049430181,Other,The_incandescent_contract_heals_polarisation.,2022-11-13
Thomas,Bernard,Thomas.Bernard@gmail.com,Onions,Zeugolatio,200_01,37.938205,22.800683,Damaging_winds,The_barbarous_bloomer_designs_clapboard.,2021-12-26
Jon,Martinez,Jon.Martinez@gmail.com,Celery,Chalkida,341_00,38.46475723010327,23.60427024952527,Other,The_stingy_kangaroo_binds_brassiere.,2022-06-07
Jose,Duncan,Jose.Duncan@gmail.com,Brocollis,Rhodes,851_00,36.44842836419851,28.22227939163934,Sprinkling,The_fierce_pounding_details_nothing.,2023-02-02
Todd,Travis,Todd.Travis@gmail.com,Cherries,Ikaria,833_00,37.58961068473517,26.147039270550426,Freeze,The_hilarious_thistle_interrupts_alien.,2022-10-09
Jose,Archer,Jose.Archer@gmail.com,Lettuces,Paros,844_00,37.098360653854776,25.17269264462871,Damaging_winds,The_small_voyage_lays_auction.,2022-01-31
Robert,Edwards,Robert.Edwards@gmail.com,Other,Kozani,501_00,40.296161660497546,21.8600334922047,Pruning,The_capricious_paramecium_causes_disregard.,2023-06-04
Andrew,Mcbride,Andrew.Mcbride@gmail.com,Walnuts,Ioannina,455_00,39.74777373240581,20.883865354024113,Other,The_deadpan_wraparound_worries_housing.,2021-10-05
Kevin,Dixon,Kevin.Dixon@gmail.com,Lettuces,Kithnos,840_06,37.38078501853939,24.425423947653055,Other,The_addicted_diaphragm_sucks_whirlwind.,2021-05-07
Andrea,Brown,Andrea.Brown@gmail.com,Prunes,Skiathos,370_02,39.16371332685482,23.461523468690146,Sprinkling,The_futuristic_boat_radiates_stopsign.,2023-11-24
Charles,Jackson,Charles.Jackson@gmail.com,Chestnuts,Kithnos,840_06,37.38078501853939,24.425423947653055,Other,The_gullible_sport_reports_duffel.,2023-06-16
Frederick,Potter,Frederick.Potter@gmail.com,Pears,Mesologgi,302_00,38.41408948213663,21.420321259568848,Disease,The_prickly_jazz_coughs_cinema.,2023-07-09
Jillian,Phillips,Jillian.Phillips@gmail.com,Peanuts,Lamia,351_00,38.89854435830873,22.421828692123736,Sprinkling,The_available_lad_floats_alpha.,2023-08-16
Peter,Moore,Peter.Moore@gmail.com,Hazelnuts,Simi,856_00,36.616320076923415,27.834090209833906,Pruning,The_nonstop_pace_dislikes_watchmaker.,2022-08-04
Dominic,Green,Dominic.Green@gmail.com,Chestnuts,Lemnos,814_00,39.92695956874981,25.23030416586388,Pruning,The_makeshift_hurdle_amuses_rabbit.,2021-03-02
Jose,Cruz,Jose.Cruz@gmail.com,Okras,Kasos,858_00,35.414022617414936,26.928894255224673,Disease,The_filthy_pseudoscience_strips_derivative.,2021-12-02
Nathan,Davis,Nathan.Davis@gmail.com,Spinach,Serres,621_00,41.094585347155025,23.49206903427869,Sprinkling,The_cooing_bacon_searches_seaplane.,2023-04-21
Todd,Klein,Todd.Klein@gmail.com,Cabbages,Grevena,511_00,40.10771007295979,21.41382920188915,Other,The_acoustic_dromedary_shades_scent.,2021-03-06
Nathaniel,White,Nathaniel.White@gmail.com,Peas_,Mantinia,220_05,37.6165132045188,22.384159084709285,Hail,The_shaky_concert_sends_alpaca.,2022-07-29
Deborah,Hill,Deborah.Hill@gmail.com,Cauli_Flowers,Tegea,220_12,37.45503319463273,22.4193562340771,Bacterium,The_sweet_configuration_gazes_irony.,2021-02-27
Samuel,May,Samuel.May@gmail.com,Cherries,Chios,821_00,38.36682612947608,26.07357077399551,Bacterium,The_filthy_latency_overdraws_cheque.,2022-02-02
Ashley,Rodriguez,Ashley.Rodriguez@gmail.com,Aubergines,Ikaria,833_00,37.58961068473517,26.147039270550426,Rain,The_flipped-out_myth_zooms_buckwheat.,2021-03-04
Eric,Mcdonald,Eric.Mcdonald@gmail.com,French_beans,Larisa,415_00,39.63017613682956,22.444708945998894,Rain,The_historical_calico_crushes_pub.,2022-03-03
Anthony,Leon,Anthony.Leon@gmail.com,Brocollis,Volos,382_00,39.364387122070035,22.94834536762765,Hail,The_boring_plain_fights_judge.,2023-02-06
Antonio,Torres,Antonio.Torres@gmail.com,Spinach,Karditsa,431_00,39.36530100924329,21.91760996305532,Disease,The_voiceless_stitch_dusts_lobster.,2023-10-24
Tanya,Eaton,Tanya.Eaton@gmail.com,Hazelnuts,Thira,847_00,36.42184435682835,25.431268915395393,Pruning,The_open_alert_irritates_arrest.,2023-12-26
Justin,Wiggins,Justin.Wiggins@gmail.com,Garlics,Karpenisi,361_00,38.885746682697814,21.775750995823323,Disease,The_nutty_herring_introduces_capitulation.,2021-07-08
Paul,Cole,Paul.Cole@gmail.com,Almonds,Amorgos,840_08,36.87228701899494,25.9400482303577,Other,The_blue-eyed_herb_commands_fingernail.,2023-06-03
Dan,Moody,Dan.Moody@gmail.com,Mandarins,Edessa,582_00,40.810088473119414,22.0381790604984,Hail,The_wiry_answer_explains_effect.,2021-04-30
Kevin,Davis,Kevin.Davis@gmail.com,Lemons,Pyrgos,271_00,37.67233571019897,21.4417812436724,Drought,The_oafish_clinic_understands_collector.,2023-02-02
Lori,Roman,Lori.Roman@gmail.com,Sour_cherries,Drama,661_00,41.146698124704564,24.17762195688271,Drought,The_heartbreaking_buying_overcomes_fibre.,2021-08-22
Tanner,Benson,Tanner.Benson@gmail.com,Watermellons,Hydra,180_40,37.33835885998821,23.47093783198969,Freeze,The_creepy_minimalism_frightens_nutrition.,2022-02-23
Wesley,Reyes,Wesley.Reyes@gmail.com,Figs,Lefkada,311_00,38.708115485301256,20.68488440821939,Bacterium,The_noiseless_anyone_overflows_beverage.,2023-07-23
Andrew,Houston,Andrew.Houston@gmail.com,Spinach,Naxos,843_00,37.07653293413093,25.392318952559446,Damaging_winds,The_cooing_bijou_flowers_teammate.,2023-11-27
Zachary,Lane,Zachary.Lane@gmail.com,Grapes,Nemea,205_00,37.82186178275198,22.659589977879943,Pruning,The_itchy_parachute_exhibits_muscat.,2023-09-21
Grant,Ramos,Grant.Ramos@gmail.com,Beets,Kamari,220_12,37.440022774340186,22.41081439076418,Drought,The_telling_combination_monitors_brisket.,2021-05-02
Kyle,Peters,Kyle.Peters@gmail.com,Mandarins,Katerini,601_00,40.280679303538605,22.484270127719522,Other,The_uneven_employment_guesses_push.,2022-07-08
Cindy,Fuentes,Cindy.Fuentes@gmail.com,Artichokes,Drama,661_00,41.146698124704564,24.17762195688271,Hail,The_clean_hive_numbers_beating.,2021-08-06
Joshua,Lee,Joshua.Lee@gmail.com,Fresh_onions,Drama,661_00,41.146698124704564,24.17762195688271,Disease,The_elfin_draw_uses_equity.,2021-05-23
