	fromHarbor	toHarbor	ship	shippingFirm	passengers	vehicles	position	seatNumber	discount	price	departureDate	departureTime	arrivalTime	gender	birth_date	nationality	phone_number	firstName	lastName	email	cardNumber	creditName	creditSurame	creditExpiration
0	KITROS PIERIAS, Greece (753)	Agio Theodoroi, Greece (AGT)	MARMARI EXPRESS	FAST FERRIES	4.0	4.0	Cabin-4 Beds (Ext.) [A4]	25.0	Retired NAT	32.63775758252657	2021-11-17	06:49:31	1900-01-01 19:00:31	M	1973-02-11	Marshall Islands	314.211.6940	Jaime	Ramirez	Jaime.Ramirez@gmail.com	GB18MQYZ34902640103295	Jaime	Ramirez	06/32
1	IERAX (GERAKAS) LAKONIAS, Greece (739)	KALLONE LESBOU, Greece (743)	NIKOLAOS	GOUTOS LINES	3.0	2.0	Cabin-2 Beds (Ext.) [AA2]	319.0	No discount	10.362600971962408	1977-03-29	13:41:24	1900-01-01 20:35:24	M	1985-12-29	Faroe Islands	599-171-9050	Robert	Davis	Robert.Davis@gmail.com	GB13YZPX21691852972816	Robert	Davis	02/27
2	Nea Kallikratia, Greece (NKA)	Politika, Greece (PTK)	SEMPEKO 2	KATEROS	10.0	2.0	Aviation Seat [ATS]	189.0	Retired NAT	13.079870360133391	2020-06-14	03:12:59	1900-01-01 06:39:59	M	1979-04-24	Netherlands Antilles	001-437-792-0727x99592	Erik	Brock	Erik.Brock@gmail.com	GB95HIFH67000962754487	Erik	Brock	06/32
3	MARATHOUPOLE MESSENIAS, Greece (772)	Drepano Riou, Greece (DRE)	FLYINGCAT 6	SEA SPEED FERRIES	5.0	5.0	Cabin-3 Beds [AB3]	140.0	No discount	42.93739637858966	2023-03-06	06:41:43	1900-01-01 15:47:43	M	2004-01-15	Mayotte	4078046518	Scott	Jordan	Scott.Jordan@gmail.com	GB86ONHC91938692310544	Scott	Jordan	06/26
4	MARATHOKAMPOS SAMOU, Greece (MKP)	RAKHAI PHTHIOTIDAS, Greece (825)	AQUA JEWEL	TRITON FERRIES	4.0	5.0	Cabin-4 Beds (Ext.) [A4]	56.0	No discount	14.140806119352085	1984-02-18	23:21:35	1900-01-02 06:08:35	M	1972-08-18	Algeria	978-198-1387	Austin	Peterson	Austin.Peterson@gmail.com	GB25GFEH99397358023166	Austin	Peterson	02/27
5	Tsingeli, Greece (TSI)	Meganisi, Greece (MGN)	ANDREAS KALVOS	ZANTE FERRIES 	10.0	3.0	Cabin-2 Beds [A2K]	156.0	College Student	87.16518759795485	2021-07-02	17:40:59	1900-01-02 12:18:59	M	1978-03-22	Vanuatu	+1-871-287-2084x55407	Johnny	Haynes	Johnny.Haynes@gmail.com	GB69LNRC26576326871038	Johnny	Haynes	10/23
6	ARMENISTES RODOU, Greece (718)	DERBENI KORINTHIAS, Greece (730)	ERATO	TWOWAY FERRIES	7.0	3.0	Cabin-3 Beds (Ext.) [A3]	9.0	College Student	71.57779163712058	2009-04-03	04:36:14	1900-01-01 17:06:14	F	1992-06-11	Hungary	+1-080-252-6997x458	Jessica	Burke	Jessica.Burke@gmail.com	GB92QDLT03300419414789	Jessica	Burke	12/24
7	Katerini, Greece (KEI)	Mesolongion, Greece (MEL)	BLUE HORIZON	ANE KALYMNOU	8.0	9.0	Cabin-4 Beds [A4K]	142.0	Three Children	44.24688427534218	1994-03-02	14:33:02	1900-01-01 19:41:02	F	1985-07-23	Qatar	+1-453-412-0133x19261	Tonya	Gillespie	Tonya.Gillespie@gmail.com	GB17RHAR68866559313885	Tonya	Gillespie	09/28
8	Neon Karlovasion, Greece (KAR)	NTIPION LESBOU, Greece (797)	SPORADES STAR	SEAJETS	9.0	1.0	Cabin-3 Beds [AB3]	500.0	Retired NAT	12.605838724323402	1992-10-24	14:29:56	1900-01-01 15:49:56	M	1974-10-24	Czech Republic	534-973-3582x41534	Colin	Atkins	Colin.Atkins@gmail.com	GB95LTVM76133747814969	Colin	Atkins	02/25
9	Alonnisos, Greece (ALO)	Poros Kefallinias, Greece (PKE)	F/B PREVELIS	MINOAN LINES	3.0	3.0	Deck/Living Room [D] 	48.0	No discount	66.10317184352	2003-11-13	07:13:57	1900-01-02 00:40:57	F	1994-04-12	Singapore	+1-867-819-8514x882	April	Edwards	April.Edwards@gmail.com	GB83SSNJ09064459168126	April	Edwards	09/31
10	PLATAMONAS PIERIAS, Greece (816)	Pachi, Greece (PME)	BLUE STAR DELOS	LEBANTE FERRIES	4.0	5.0	Aviation Seat [ATS]	75.0	Retired NAT	49.702818030769905	2007-03-18	15:33:43	1900-01-02 08:25:43	F	1973-12-31	Holy See (Vatican City State)	875-005-0903x1932	Kimberly	Mccullough	Kimberly.Mccullough@gmail.com	GB65KKKW88244117451938	Kimberly	Mccullough	03/26
11	Kapsalion (Kythira), Greece (KAP)	PEUKOKHORI KHALKIDIKES, Greece (851)	ALKINOOS	ANE KALYMNOU	4.0	3.0	Cabin-2 Beds [A2K]	140.0	No discount	66.86502756690012	1975-07-20	13:06:45	1900-01-02 03:57:45	M	1984-04-18	Albania	7302059794	Eric	Evans	Eric.Evans@gmail.com	GB77YCWL86672595225722	Eric	Evans	12/31
12	Eleftheres, Greece (ELT)	Limni, Greece (LII)	F/B KRITI II	AEGEAN FLYING DOLPHINS	9.0	7.0	Cabin-2 Beds (Ext.) [AA2]	307.0	No discount	61.28616818267101	1971-08-17	18:44:20	1900-01-02 06:51:20	F	1986-08-15	Bolivia	395.535.9737	Regina	Clayton	Regina.Clayton@gmail.com	GB35FJGW37487722771409	Regina	Clayton	04/24
13	PALIOURI KHALKIDIKES, Greece (805)	MARONEIA AG. KHARALAMPOU, Greece (099)	BLUE STAR CHIOS	MINOAN LINES	8.0	9.0	Deck/Living Room [D] 	384.0	College Student	89.8807978732787	1998-07-21	01:29:01	1900-01-01 18:01:01	M	1977-09-26	Algeria	001-267-668-9739x62805	Mark	Goodman	Mark.Goodman@gmail.com	GB81QLYO56490052000052	Mark	Goodman	09/24
14	Lixuri, Greece (LIX)	Karystos, Greece (KST)	ACHAIOS	ANE KALYMNOU	5.0	6.0	Cabin-4 Beds [A4K]	370.0	College Student	37.383883574394055	1979-08-03	01:56:21	1900-01-01 12:55:21	F	1981-06-12	Romania	862.914.6510x75892	Jacqueline	Rodriguez	Jacqueline.Rodriguez@gmail.com	GB34RYCE08837683653448	Jacqueline	Rodriguez	01/24
15	Delos, Greece (DOS)	Sami, Greece (SAI)	AQUA BLUE	ZANTE FERRIES 	10.0	6.0	Cabin-4 Beds [AB4]	254.0	No discount	11.794298918414263	2007-03-18	07:08:16	1900-01-01 10:34:16	F	1972-04-22	Togo	(857)587-7504x3878	Michelle	Page	Michelle.Page@gmail.com	GB37RJIE77710250410351	Michelle	Page	06/26
16	Atalandi, Greece (ATA)	MARONEIA SETEIAS, Greece (774)	EXPRESS SKIATHOS	AGIA MARINI NE	5.0	3.0	Deck/Living Room [D] 	460.0	Hoplites	51.734317954660995	2019-09-09	10:35:35	1900-01-01 22:11:35	M	1977-04-12	Vanuatu	+1-859-500-5828x75922	Douglas	Cook	Douglas.Cook@gmail.com	GB74EJTV59902268348520	Douglas	Cook	06/27
17	AGIOS IOANNES MAGNESIAS, Greece (705)	Plomarion, Greece (PLM)	F/B IONIS	ANE KALYMNOU	10.0	10.0	Deck/Living Room [D] 	45.0	Hoplites	50.98090416557703	2006-08-21	09:14:01	1900-01-02 02:32:01	F	1998-03-19	Turkmenistan	7680559944	Wendy	Benton	Wendy.Benton@gmail.com	GB54UKWT00873012385648	Wendy	Benton	05/24
18	AGIOS IOANNES MAGNESIAS, Greece (705)	Farmakonissi Dodekanissos, Greece (FAM)	BLUE CARRIER 1	GOUTOS LINES	4.0	1.0	Cabin-4 Beds [A4K]	166.0	College Student	95.89337047872817	1983-11-13	23:05:43	1900-01-02 13:07:43	M	2001-10-03	Albania	1232034454	Jonathon	Oconnell	Jonathon.Oconnell@gmail.com	GB66AIHT23288253347368	Jonathon	Oconnell	06/26
19	Kosta Ermionidas, Greece (KEM)	Gavrion, Greece (GAV)	AERO 2 HIGHSPEED	IONION PELAGOS NE	9.0	6.0	Cabin-2 Beds (Ext.) [AA2]	116.0	No discount	90.44799423719773	1983-05-05	18:34:05	1900-01-01 19:45:05	F	1971-01-24	American Samoa	748.197.9769x665	Brenda	Nguyen	Brenda.Nguyen@gmail.com	GB18AMTA46133496659008	Brenda	Nguyen	12/26
20	Mesolongion, Greece (MEL)	Venice, Greece (ITVCE)	WORLDCHAMPION JET	TWOWAY FERRIES	7.0	3.0	Cabin-4 Beds (Ext.) [A4]	180.0	Hoplites	40.56390706595131	2005-04-30	07:41:37	1900-01-01 09:16:37	M	1971-07-01	Suriname	(176)791-5589x874	Jerry	Kelly	Jerry.Kelly@gmail.com	GB92MTDX46277644460042	Jerry	Kelly	07/23
