,fromHarbor,toHarbor,ship,shippingFirm,passengers,vehicles,position,seatNumber,discount,price,departureDate,departureTime,arrivalTime,gender,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration
0,"Agios Stefanos Corfu, Greece (ASF)","Sikionia, Greece (SIK)",HSC CAT,ANEK LINES,3.0,1.0,Cabin-3 Beds (Ext.) [A3],321.0,Three Children,39.29688959328071,1971-08-16,17:57:31,1900-01-02 05:11:31,M,1995-11-09,Barbados,001-753-527-0234x9487,Joseph,Hart,Joseph.Hart@gmail.com,GB26OPXX89495415019933,Joseph,Hart,11/28
1,"Skiros, Greece (SKU)","LIMENARIA THASOU, Greece (767)",SEAJET2,ANEK LINES,6.0,2.0,Cabin-2 Beds (Ext.) [A2],480.0,College Student,54.7669859061352,2014-10-05,18:14:52,1900-01-02 10:41:52,F,1998-12-25,Sri Lanka,001-023-480-2934x69220,Destiny,Drake,Destiny.Drake@gmail.com,GB71OUFT17070400364478,Destiny,Drake,08/30
2,"Pteleos, Greece (PTE)","MARONEIA SETEIAS, Greece (774)",KALYMNOS DOLPHIN,MINOAN LINES,10.0,7.0,Aviation Seat [ATS],449.0,Hoplites,63.25707000867971,1991-06-06,09:45:06,1900-01-01 21:47:06,F,1992-06-14,Puerto Rico,618.551.9227x35103,Maureen,Wright,Maureen.Wright@gmail.com,GB95BWGP56999482294491,Maureen,Wright,12/23
3,"PURGOS KARUSTIAS EUBOIAS, Greece (824)","Marmari, Greece (MRM)",BLUE HORIZON,ZANTE FERRIES ,5.0,4.0,Cabin-4 Beds [AB4],346.0,College Student,26.852663775021906,1988-05-25,09:54:57,1900-01-02 02:15:57,F,1974-02-16,Libyan Arab Jamahiriya,(046)035-5231,Diana,Brown,Diana.Brown@gmail.com,GB79ILGR32459205640340,Diana,Brown,07/32
4,"Kosta Ermionidas, Greece (KEM)","Patras, Greece (GPA)",F/B PORFYROUSA,KERKYRAIKES GRAMMES,10.0,6.0,Deck/Living Room [D] ,239.0,Retired NAT,51.29150339547379,2008-03-09,10:57:33,1900-01-01 16:41:33,F,2004-01-08,Hong Kong,973-893-4851,Anna,Ortiz,Anna.Ortiz@gmail.com,GB50CCCX77310966267049,Anna,Ortiz,02/28
5,"Rafina, Greece (RAF)","Meganisi, Greece (MGN)",BLUE GALAXY,NOVA FERRIES,9.0,2.0,Cabin-3 Beds [AB3],246.0,Hoplites,11.808470139479022,1998-04-02,23:48:12,1900-01-02 09:28:12,M,1971-12-19,Tokelau,210-206-9313x121,Joel,Fletcher,Joel.Fletcher@gmail.com,GB44KBKL49856032280094,Joel,Fletcher,06/24
6,"Pitra, Greece (PIT)","Othonoi, Greece (OTH)",NAXOS JET,FAST FERRIES,9.0,4.0,Cabin-2 Beds (Ext.) [A2],117.0,Retired NAT,95.72541833228804,2000-08-01,12:52:29,1900-01-01 21:05:29,F,2002-05-16,Sierra Leone,001-255-377-7621x83585,Danielle,Keith,Danielle.Keith@gmail.com,GB88WUFH73064993846622,Danielle,Keith,05/23
7,"Diafanion, Greece (DIA)","KALLONE LESBOU, Greece (743)",EXPRESS SKOPELITIS,SEBECO LINES,5.0,2.0,Aviation Seat [ATS],79.0,Three Children,90.02435940276554,2008-09-04,01:58:18,1900-01-01 16:29:18,M,1997-01-03,Cook Islands,+1-194-621-9995x16233,Alan,Howard,Alan.Howard@gmail.com,GB17ZHMC49944511486479,Alan,Howard,11/27
8,"ALUKE BOLOU, Greece (711)","Agios Nikolaos, Kriti, Greece (ANI)",HIGH SPEED JET,FAST FERRIES,10.0,9.0,Cabin-3 Beds [AB3],364.0,No discount,87.16914355187392,2001-04-30,19:56:00,1900-01-02 14:00:00,M,1998-09-24,Monaco,001-510-013-9211x974,Sean,Campbell,Sean.Campbell@gmail.com,GB54UBBJ23352054016681,Sean,Campbell,01/33
9,"Sigri Lesvou, Greece (SGR)","PAMPHILA LESBOU, Greece (806)",F/B PREVELIS,SEBECO LINES,10.0,2.0,Cabin-3 Beds [AB3],21.0,College Student,37.92489727477807,2021-02-09,12:25:39,1900-01-01 13:43:39,M,1993-09-19,United Kingdom,(772)162-5684,Michael,Mcclure,Michael.Mcclure@gmail.com,GB36IVGR65527413611537,Michael,Mcclure,10/27
10,"KORTHION ANDROU, Greece (755)","PAMPHILA LESBOU, Greece (806)",IONION PELAGOS,AEGEAN FLYING DOLPHINS,4.0,2.0,Cabin-2 Beds [A2K],2.0,College Student,57.010159207061854,1990-06-24,09:07:01,1900-01-01 14:42:01,F,2001-08-16,Korea,(288)455-6062x43961,Sandra,Best,Sandra.Best@gmail.com,GB77QPZH21762693912583,Sandra,Best,12/32
11,"Menidi, Greece (MEN)","Heraklion (Iraklion), Greece (HER)",ASTERION II,IONION PELAGOS NE,1.0,1.0,Cabin-2 Beds (Ext.) [A2],89.0,Three Children,23.09582369180616,1977-04-16,21:46:51,1900-01-02 16:40:51,F,1996-10-12,Kuwait,452.812.5690x2142,Elizabeth,Palmer,Elizabeth.Palmer@gmail.com,GB71RSPM74073664416285,Elizabeth,Palmer,08/30
12,"Kosta Ermionidas, Greece (KEM)","NEA MEKHANIONA THES/NIKES, Greece (791)",CONTESSA DI LEVANTE,SEBECO LINES,7.0,7.0,Aviation Seat [ATS],388.0,Retired NAT,29.66194337185522,1973-05-14,07:14:59,1900-01-02 00:05:59,F,1972-07-21,Paraguay,+1-850-809-5075x09941,Michelle,Sanchez,Michelle.Sanchez@gmail.com,GB76YJMQ88100946111668,Michelle,Sanchez,08/26
13,"Sikionia, Greece (SIK)","Lagos (Porto-Lago), Greece (PTL)",BLUE HORIZON,ZANTE FERRIES ,5.0,4.0,Cabin-3 Beds (Ext.) [A3],291.0,Having many children,20.083399975038468,2015-01-31,17:34:59,1900-01-01 23:26:59,F,1994-11-16,Kazakhstan,001-986-534-1536x85200,Allison,Melendez,Allison.Melendez@gmail.com,GB40SKFG49631884188536,Allison,Melendez,12/27
14,"Drapetzona, Greece (DPA)","Bari, Greece (ITBRI)",SUPERFAST II,GOUTOS LINES,1.0,1.0,Cabin-4 Beds [A4K],69.0,Hoplites,10.18520157059347,2023-04-23,10:14:01,1900-01-01 16:12:01,M,1998-09-14,Slovakia (Slovak Republic),(944)227-4434x336,Keith,Hawkins,Keith.Hawkins@gmail.com,GB28FJTW09827289831721,Keith,Hawkins,05/32
15,"Polychnitos Lesvou, Greece (PLC)","Paloukia, Greece (PAO)",BLUE STAR NAXOS,GOUTOS LINES,4.0,1.0,Cabin-4 Beds (Ext.) [A4],130.0,Retired NAT,94.80242336689105,1975-02-17,03:31:42,1900-01-01 09:10:42,F,1980-09-25,Botswana,001-880-002-2346x5201,Jacqueline,Gutierrez,Jacqueline.Gutierrez@gmail.com,GB65DXVA86072877852073,Jacqueline,Gutierrez,03/30
16,"Paxi, Greece (PAX)","Leonidion, Greece (LND)",EUDOKIA,SEBECO LINES,4.0,4.0,Cabin-3 Beds (Ext.) [A3],366.0,Three Children,64.95456982233219,1980-11-09,21:17:26,1900-01-02 13:37:26,M,1992-04-02,Burkina Faso,001-593-870-7149,Dylan,Watts,Dylan.Watts@gmail.com,GB08GXNV40497946610591,Dylan,Watts,04/31
17,"Perama Geras Mytilinis, Greece (PGM)","Porto Heli, Greece (PHE)",ZEFYROS,AGIA MARINI NE,5.0,3.0,Aviation Seat [ATS],314.0,Three Children,22.53971069406414,1989-10-06,19:36:10,1900-01-02 11:18:10,M,1981-01-15,Nicaragua,001-433-085-0744x046,Richard,Murray,Richard.Murray@gmail.com,GB52SNYQ80477934180824,Richard,Murray,03/25
