fromHarbor,toHarbor,ship,shippingFirm,passengers,vehicles,position,seatNumber,discount,price,departureDate,departureTime,arrivalTime,gender,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration
"ΕΙΝΑΙ Ο ΠΑΛΙΟΣ ΚΩΔΙΚΟΣ ΓΙΑ ΤΟ ΠΕΥΚΙ ΕΥΒΟΙΑΣ, Greece (814)","PANORMITES SUMES, Greece (088)",BLUE STAR 2,TRITON FERRIES,4.0,5.0,Cabin-2 Beds (Ext.) [A2],106.0,Having many children,76.91484802115474,2018-10-30,09:27:15,1900-01-02 01:12:15,F,2003-12-03,Cayman Islands,+1-808-540-5422,Rachel,Sanchez,Rachel.Sanchez@gmail.com,GB87DRRN33300513192628,Rachel,Sanchez,08/25
"MARATHOUPOLE MESSENIAS, Greece (772)","Astakos, Greece (AST)",AERO 3 HIGHSPEED,ANES FERRIES,6.0,5.0,Cabin-4 Beds (Ext.) [A4],334.0,No discount,58.796316883528206,1985-11-23,08:47:16,1900-01-01 15:12:16,F,1985-01-31,Colombia,+1-977-894-9348,Sara,Michael,Sara.Michael@gmail.com,GB60PLQO07929557794635,Sara,Michael,09/29
"Kassos, Greece (KSJ)","Agios Nikolaos, Kriti, Greece (ANI)",CHAMPION JET1,TRITON FERRIES,1.0,2.0,Cabin-2 Beds (Ext.) [AA2],481.0,Retired NAT,66.0569060727839,1985-06-06,22:22:45,1900-01-02 03:34:45,M,1973-05-24,Eritrea,682.635.8970,Michael,Huang,Michael.Huang@gmail.com,GB77CSND32077778793798,Michael,Huang,04/23
"ALUKE BOLOU, Greece (711)","AGIA GALINI RETHIMNOU (OLD LOCODE), Greece (701)",BLUE STAR 2,LEBANTE FERRIES,5.0,6.0,Cabin-4 Beds [AB4],439.0,Having many children,25.649703380504523,1974-02-03,08:20:13,1900-01-01 23:10:13,F,1975-07-11,Bahamas,090-213-0772,Sandra,Gutierrez,Sandra.Gutierrez@gmail.com,GB18WHJO02121725594301,Sandra,Gutierrez,10/31
"Igoumenitsa, Greece (IGO)","Agia Marina Lerou, Greece (AML)",TERA JET,AEGEAN FLYING DOLPHINS,4.0,5.0,Deck/Living Room [D] ,271.0,College Student,25.27052041909895,1993-06-16,09:22:09,1900-01-01 20:30:09,F,1999-03-12,Belgium,001-672-047-9264,Meghan,Mora,Meghan.Mora@gmail.com,GB65UKWD03895321713453,Meghan,Mora,05/25
"Volos, Greece (VOL)","Ancona, Greece (ITAOI)",ZEFYROS,ANEK LINES,3.0,2.0,Cabin-3 Beds (Ext.) [A3],294.0,Having many children,34.51150840268123,2007-04-17,22:38:42,1900-01-02 00:24:42,F,2002-09-28,Faroe Islands,627.506.0297,Gabriela,Shelton,Gabriela.Shelton@gmail.com,GB76VENI05231236831803,Gabriela,Shelton,07/32
"Poros Kefallinias, Greece (PKE)","Salamis, Greece (SAL)",MAKEDON,AEGEAN FLYING DOLPHINS,9.0,1.0,Deck/Living Room [D] ,156.0,Three Children,92.66424644335632,1975-04-04,09:51:16,1900-01-02 03:19:16,F,1978-10-01,Christmas Island,(665)933-8763,Erin,Lutz,Erin.Lutz@gmail.com,GB74XBJB08853415919453,Erin,Lutz,02/33
"TUROS ARKADIAS, Greece (840)","Alonnisos, Greece (ALO)",AQUA BLUE,SEA SPEED FERRIES,10.0,10.0,Cabin-4 Beds [A4K],216.0,Retired NAT,84.18332089059847,1974-09-17,13:23:18,1900-01-02 00:22:18,F,1972-06-07,Lesotho,236.927.6793,Lori,Montes,Lori.Montes@gmail.com,GB43VJQR30268794842718,Lori,Montes,05/28
"PALIOURI KHALKIDIKES, Greece (805)","Argostolion, Greece (ARM)",F/B KIDON,GOUTOS LINES,5.0,3.0,Cabin-3 Beds (Ext.) [A3],165.0,College Student,96.44215528526227,2009-04-25,18:46:01,1900-01-02 01:20:01,M,1993-10-09,Cambodia,(924)977-4046,Evan,Cooper,Evan.Cooper@gmail.com,GB92DMXQ90986389399322,Evan,Cooper,07/24
"Mylaki, Greece (MYL)","KORONE MESSENIAS, Greece (756)",AERO 1 HIGHSPEED,SEBECO LINES,10.0,6.0,Cabin-4 Beds [A4K],476.0,Hoplites,25.788542550467987,1976-03-10,08:10:07,1900-01-01 14:37:07,M,1999-06-15,Morocco,726.819.3588,John,Miller,John.Miller@gmail.com,GB12CAID79201821697488,John,Miller,02/30
"Agios Efstratios, Greece (AGO)","PAKHEIA AMMOS IERAPETRA, Greece (810)",KALYMNOS DOLPHIN,ANEK LINES,8.0,6.0,Cabin-4 Beds (Ext.) [A4],204.0,College Student,61.984244602561496,2022-12-02,19:22:40,1900-01-01 23:12:40,M,1987-12-19,Hong Kong,226-628-5379,Matthew,Perry,Matthew.Perry@gmail.com,GB53ADYQ38621038513642,Matthew,Perry,05/30
"Volos, Greece (VOL)","Agio Theodoroi, Greece (AGT)",PROTEAS,MIKRES KYKLADES,10.0,1.0,Cabin-3 Beds [AB3],490.0,No discount,60.47650820935073,1996-12-13,08:29:54,1900-01-02 00:49:54,F,1985-08-17,Thailand,312-274-3603,Debbie,Davis,Debbie.Davis@gmail.com,GB85BMXN82718864735067,Debbie,Davis,04/29
"Petra, Greece (PLV)","Antiparos, Greece (ANP)",FLYING DOLPHIN 17,MINOAN LINES,9.0,1.0,Cabin-2 Beds (Ext.) [AA2],418.0,Having many children,43.72331083095186,1977-10-08,05:08:14,1900-01-01 21:58:14,M,1971-04-01,Bangladesh,(080)568-6668,David,Lambert,David.Lambert@gmail.com,GB95RSYD25866201261171,David,Lambert,10/31
"Suda Bay, Greece (SUD)","Aigiali Amorgou, Greece (AIG)",BLUE STAR DELOS,TWOWAY FERRIES,8.0,7.0,Deck/Living Room [D] ,150.0,Hoplites,15.770809139460823,1974-10-16,08:10:07,1900-01-02 01:25:07,F,1995-08-21,Bahamas,595.135.8327,Karen,Miller,Karen.Miller@gmail.com,GB84UHOT66401047021411,Karen,Miller,12/23
"Agios Kirykos, Greece (AKI)","Sougia Chanion, Greece (SOG)",SIMI,LEBANTE FERRIES,3.0,1.0,Cabin-2 Beds (Ext.) [AA2],32.0,No discount,56.43706256116342,1995-08-20,16:35:03,1900-01-02 10:13:03,M,1971-02-07,Montenegro,9458009938,Justin,Meyer,Justin.Meyer@gmail.com,GB67POVE60211687349927,Justin,Meyer,07/25
